signatur,titel,place,date-issued,date-year,URN,Literatur,"Literatur, direkt Link",link-images,oai_id
Urk. 50,"Urkunde 50, 1366 Januar 17, Österreich",Österreich,Der brief ist geben nach Chrystes gepürd uber dreutzehen hundert jar dar nach in  dem sechs und sechczkysten iar an dez heyligen herren sand Antonii tag,1366,urn:nbn:de:kobv:11-712873,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/83/,https://www.digi-hub.de/viewer/content/1599747140023/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599747140023/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599747140023/full/0/00000003.jpg,1599747140023
Urk. 44,"Urkunde 44, 1362 Juni 25, Haimburg",Haimburg,Geben ze Haimburch an samztag nach Sunewenden nach Christs gepurd drew-  zehen hundert jar darnach in dem zway und sechczigistem jar unsers alters in dem  drew und zwainczigistem und unsers gewalts in dem vierden jar,1362,urn:nbn:de:kobv:11-712871,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/80/,https://www.digi-hub.de/viewer/content/1599745352447/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599745352447/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599745352447/full/0/00000003.jpg,1599745352447
Urk. 31,"Urkunde 31, 1352 April 12, Winterthur",Winterthur,Der geben ward ze Winterrut in dem jar do man zalt von Cristes gebuirt druizehen-  hundert jar darnah in dem zwai und fuinfczigesten jar an dem naehsten fritag ze  ussgaender Osterwcchen,1352,urn:nbn:de:kobv:11-712870,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/79/,https://www.digi-hub.de/viewer/content/1599744922214/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599744922214/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599744922214/full/0/00000003.jpg,1599744922214
Urk. 45,"Urkunde 45, 1362 September 3, Österreich",Österreich,Nach Christes geburde dreuczehen hundert iar dar nach in dem zwai und  sechczgisten iar dez nachsten sambstags nach sant Giligen tage,1362,urn:nbn:de:kobv:11-712872,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/82/,https://www.digi-hub.de/viewer/content/1599746331472/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599746331472/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599746331472/full/0/00000003.jpg,1599746331472
Urk. 60,"Urkunde 60, 1377 November 23, Wien",Wien,Geben ze Wien an montag vor Katherine nach Kristi gepurt dreuczehenhundert jar  darnach in dem siben und sibenczigistem jare,1377,urn:nbn:de:kobv:11-712877,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/85/,https://www.digi-hub.de/viewer/content/1599821411176/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599821411176/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599821411176/full/0/00000003.jpg,1599821411176
Urk. 59,"Urkunde 59, 1377 September 8, Wien",Wien,Geben ze Wien an unsr Frawen tag ze herbste nach Kristi gepuerd dreutzehn hun-  dert jar darnach in dem siben und sibenczigistem jare,1377,urn:nbn:de:kobv:11-712876,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/84/,https://www.digi-hub.de/viewer/content/1599820625398/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599820625398/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599820625398/full/0/00000003.jpg,1599820625398
Urk. 139,"Urkunde 139, 1475 Februar 4, Österreich",Österreich,Gebn ist nach Christs gebuorde im virtzehenhundert und funfundsybntzigisten jaren  am sambstag vor sand Dorothea tag der heiligis junkhfraun,1475,urn:nbn:de:kobv:11-712878,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/86/,https://www.digi-hub.de/viewer/content/1600169371597/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1600169371597/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1600169371597/full/0/00000003.jpg,1600169371597
Urk. 176,"Urkunde 176, 1507 Juli 7, Wohlau",Wohlau,Geschehen zu Wolaw am mittwoch nach Procopii nach Christi unsers Herrn geburt  funffzehenhundert unnd im sebenden jare,1507,urn:nbn:de:kobv:11-712880,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/89/,https://www.digi-hub.de/viewer/content/1600172923986/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1600172923986/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1600172923986/full/0/00000003.jpg,1600172923986
Urk. 151,"Urkunde 151, 1482 April 30, Freystadt",Freystadt,Gegebin am obinde Philippi und Jacobi der heiligen zwelffbothen noch Cristi  geborth virzehnhundirt jor dornoch im zweundachzigisten jore,1482,urn:nbn:de:kobv:11-712879,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/87/,https://www.digi-hub.de/viewer/content/1600171950616/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1600171950616/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1600171950616/full/0/00000003.jpg,1600171950616
Urk. 180,"Urkunde 180, 1513 April 25, Breslau",Breslau,Gescheen zu Bresslaw am tage Marci des heyligen ewangelisten nach Christi  unsers Herrn geburt funffczehenhundert und im dreyczehenden jare,1513,urn:nbn:de:kobv:11-712882,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/91/,https://www.digi-hub.de/viewer/content/1600175357173/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1600175357173/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1600175357173/full/0/00000003.jpg,1600175357173
Urk. 24,"Urkunde 24, 1337 März 30, Niedersachsen und Hamburg",Niedersachsen,Datum et actum anno domini M° CCC° tricesimo septimo dominico die qua cantatur  Letare,1337,urn:nbn:de:kobv:11-712885,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/93/,https://www.digi-hub.de/viewer/content/1600341447438/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1600341447438/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1600341447438/full/0/00000003.jpg,1600341447438
